时隙,任务类型,请求序列,请求到达量,空闲算力资源,等待服务队列,即时需求缺口,缓存调整量,资源缓存量,综合评价值,请求保障率,资源冗余率,下一时隙空闲算力资源,下一时隙等待服务队列,决策来源,相似案例编号
10,受灾目标识别,洪涝巡检序列002,17.0,0.0,8.58532190322876,25.58532190322876,-0.043794870376586914,16.826347827911377,-0.2627692222595215,0.48476623086368337,0.0,0.0,8.758974075317383,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
11,受灾目标识别,洪涝巡检序列002,15.0,0.0,8.758974075317383,23.758974075317383,-0.042094238102436066,15.34012645483017,-0.2525654286146164,0.4387434919675191,0.0,0.0,8.418847620487213,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
12,受灾目标识别,洪涝巡检序列002,16.0,0.0,8.418847620487213,24.418847620487213,-0.04371626302599907,15.6755950152874,-0.2622975781559944,0.45354671217501163,0.0,0.0,8.743252605199814,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t19,valid_0_0_受灾目标识别_洪涝巡检序列002_t10,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
13,受灾目标识别,洪涝巡检序列002,1.0,0.0,8.743252605199814,9.743252605199814,0.105162113904953,30.775675386190414,-0.210324227809906,1.0,0.6834105999970423,21.0324227809906,0.0,相似案例缓存预测回退,"valid_13_0_危险源态势研判_危化事故序列005_t41,train_13_0_危险源态势研判_危化事故序列005_t20,valid_0_0_受灾目标识别_洪涝巡检序列002_t170,train_0_0_受灾目标识别_洪涝巡检序列002_t9,valid_12_0_灾害图像深度分析_台风灾情序列004_t194"
14,受灾目标识别,洪涝巡检序列002,0.0,21.0324227809906,0.0,0.0,-0.35878029465675354,0.0,-0.210324227809906,1.0,1.0,21.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t75,valid_13_0_危险源态势研判_危化事故序列005_t48,train_0_0_受灾目标识别_洪涝巡检序列002_t11,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t192"
15,受灾目标识别,洪涝巡检序列002,7.0,21.0324227809906,0.0,0.0,-0.30154067277908325,0.0,-0.140324227809906,1.0,0.667180520623297,14.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_13_0_危险源态势研判_危化事故序列005_t24,train_0_0_受灾目标识别_洪涝巡检序列002_t11,train_13_0_危险源态势研判_危化事故序列005_t16,valid_12_0_灾害图像深度分析_台风灾情序列004_t7"
16,受灾目标识别,洪涝巡检序列002,5.0,14.0324227809906,0.0,0.0,-0.17855167388916016,0.0,-0.09032422780990601,1.0,0.6436823435242142,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_13_0_危险源态势研判_危化事故序列005_t46,train_13_0_危险源态势研判_危化事故序列005_t22,train_0_0_受灾目标识别_洪涝巡检序列002_t10,valid_12_0_灾害图像深度分析_台风灾情序列004_t7"
17,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.1981470286846161,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t77,train_0_0_受灾目标识别_洪涝巡检序列002_t12,valid_13_0_危险源态势研判_危化事故序列005_t51,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t7"
18,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.1698857694864273,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t9,train_0_0_受灾目标识别_洪涝巡检序列002_t12,valid_13_0_危险源态势研判_危化事故序列005_t51,train_13_0_危险源态势研判_危化事故序列005_t22,valid_12_0_灾害图像深度分析_台风灾情序列004_t6"
19,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.5860971212387085,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t13,valid_12_0_灾害图像深度分析_台风灾情序列004_t197,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_13_0_危险源态势研判_危化事故序列005_t53,train_13_0_危险源态势研判_危化事故序列005_t33"
20,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.5400164127349854,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_受灾目标识别_洪涝巡检序列002_t13,valid_12_0_灾害图像深度分析_台风灾情序列004_t67,valid_0_0_结构化报告生成_山火监测序列003_t5,valid_13_0_危险源态势研判_危化事故序列005_t47,train_13_0_危险源态势研判_危化事故序列005_t46"
21,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.4087311923503876,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_12_0_灾害图像深度分析_台风灾情序列004_t67,valid_0_0_受灾目标识别_洪涝巡检序列002_t14,valid_0_0_结构化报告生成_山火监测序列003_t6,valid_13_0_危险源态势研判_危化事故序列005_t134,train_13_0_危险源态势研判_危化事故序列005_t46"
22,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
23,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
24,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
25,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
26,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
27,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
28,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
29,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
30,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
31,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
32,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
33,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
34,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
35,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
36,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
37,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
38,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
39,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
40,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
41,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
42,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
43,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
44,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
45,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
46,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
47,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
48,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
49,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
50,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
51,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
52,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
53,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
54,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
55,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
56,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
57,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
58,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
59,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
60,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
61,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
62,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
63,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
64,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
65,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
66,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
67,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
68,受灾目标识别,洪涝巡检序列002,0.0,9.0324227809906,0.0,0.0,-0.6417701244354248,0.0,-0.09032422780990601,1.0,1.0,9.0324227809906,0.0,相似案例缓存预测回退,"valid_0_0_结构化报告生成_山火监测序列003_t30,valid_12_0_灾害图像深度分析_台风灾情序列004_t117,valid_0_0_快速问答服务_地震救援序列001_t8,valid_0_0_受灾目标识别_洪涝巡检序列002_t21,valid_13_0_危险源态势研判_危化事故序列005_t106"
